AxisNo TryNo NewCalOff ContactTorque AveTorque Ip Kv ContactPoint
1 0 -0.0130186 -0.156851 -0.0668774 -0.121493 0.0200336 0
1 1 -0.0130186 -0.153453 -0.0630882 -0.116478 0.0210007 -170.256
1 2 -0.0149198 -0.153164 -0.0635356 -0.122015 0.0169842 -170.257
2 0 1.2624 -0.00889597 -0.0984105 -0.0234169 0.00395102 0
2 1 1.2624 -0.0101612 -0.0998765 -0.0228972 0.00238391 -115.748
2 2 1.25907 -0.0108705 -0.10113 -0.0363691 0.0120265 -115.746
3 0 1.98777 -0.068091 -0.00223857 -0.0421724 0.0162618 0
3 1 1.98777 -0.0676214 -0.00193548 -0.0418179 0.0163034 74.7224
3 2 1.98921 -0.0656411 -0.000485386 -0.037882 0.0183179 74.7215
4 0 0.856206 0.132154 0.0567026 0.0998483 0.0307728 0
4 1 0.854875 0.12969 0.0546721 0.0932639 0.0359912 -175.73
4 2 0.854675 0.1301 0.0543225 0.0925307 0.0364307 -175.729
5 0 3.03011 -0.0933446 -0.0488081 -0.0785413 0.0115343 0
5 1 3.03011 -0.0931576 -0.0490748 -0.074044 0.0168863 -90.6716
5 2 3.02886 -0.0931749 -0.0491611 -0.0807345 0.00946681 -90.673
6 0 3.78931 0.0740498 0.0343867 0.0584835 0.0124942 0
6 1 3.79017 0.072617 0.0330714 0.0590444 0.0103442 89.9052
6 2 3.78691 0.0731159 0.0333233 0.0544404 0.0159087 89.9089
